,Name,Year,Duration,Rated,Score,Metascore
2601,2. Last Flag Flying,2017,2h 5m,R,6.9,65
2602,3. The Wind that Shakes the Barley,2006,2h 7m,Not Rated,7.5,82
2603,4. I Am Mother,2019,1h 53m,TV-14,6.7,64
2604,5. Girl You Know It's True,2023,2h 4m,No,7.2,0
2605,6. 3 from Hell,2019,1h 55m,R,5.4,50
2606,7. Maniac,2012,1h 29m,Not Rated,6.1,47
2607,8. Brick,2005,1h 50m,R,7.1,72
2608,"9. Juliet, Naked",2018,1h 37m,R,6.6,67
2609,0. Chopper,2000,1h 34m,R,7.1,68
2610,1. My All-American,2015,1h 58m,PG,7.1,34
2611,2. Peninsula,2020,1h 56m,Not Rated,5.5,51
2612,3. Employee of the Month,2006,1h 43m,PG-13,5.6,36
2613,4. Halloween Kills,2021,1h 45m,R,5.5,42
2614,5. Senior Year,2022,1h 51m,R,5.5,47
2615,6. Don't Breathe 2,2021,1h 38m,R,6.0,46
2616,7. Accepted,2006,1h 33m,PG-13,6.4,47
2617,8. Tolkien,2019,1h 52m,PG-13,6.8,48
2618,9. Be Cool,2005,1h 58m,PG-13,5.6,37
2619,0. Wrath of the Titans,2012,1h 39m,PG-13,5.7,37
2620,1. Letters to Juliet,2010,1h 45m,PG,6.5,50
2621,2. I Want You Back,2022,1h 56m,R,6.5,62
2622,3. The Protégé,2021,1h 49m,R,6.1,48
2623,4. Resident Evil: Retribution,2012,1h 35m,R,5.3,39
2624,5. Antebellum,2020,1h 45m,R,5.8,43
2625,6. Cinderella Man,2005,2h 24m,PG-13,8.0,69
2626,7. The Upside of Anger,2005,1h 58m,R,6.8,63
2627,8. The Last King of Scotland,2006,2h 3m,R,7.6,74
2628,9. Thank You for Smoking,2005,1h 32m,R,7.5,71
2629,0. Daddy's Home 2,2017,1h 40m,PG-13,6.0,30
2630,1. The Uninvited,2024,1h 37m,No,7.9,0
2631,2. Causeway,2022,1h 34m,R,6.6,66
2632,3. Maid in Manhattan,2002,1h 45m,PG-13,5.4,45
2633,4. The Muppets,2011,1h 43m,PG,7.1,75
2634,5. Message from the King,2016,1h 42m,R,6.4,40
2635,6. Okja,2017,2h,TV-MA,7.3,75
2636,7. The Skeleton Key,2005,1h 44m,PG-13,6.5,47
2637,8. Safe House,2012,1h 55m,R,6.7,52
2638,9. Ammonite,2020,1h 57m,R,6.5,72
2639,0. An American Crime,2007,1h 38m,R,7.2,0
2640,1. Swimming Pool,2003,1h 42m,No,6.7,70
2641,2. Annabelle Comes Home,2019,1h 46m,R,5.9,53
2642,3. Fresh Kills,2023,2h,No,7.3,0
2643,4. The Nanny Diaries,2007,1h 45m,PG-13,6.2,46
2644,5. Violent Night,2022,1h 52m,R,6.7,55
2645,6. Brian and Charles,2022,1h 30m,PG,6.7,66
2646,7. Summer of 84,2018,1h 45m,Not Rated,6.7,57
2647,8. Out of Time,2003,1h 45m,PG-13,6.5,63
2648,9. Falling for Figaro,2020,1h 44m,No,6.4,51
2649,0. Riddle of Fire,2023,1h 55m,PG-13,6.6,56
2650,1. All the Bright Places,2020,1h 47m,TV-MA,6.6,61
2651,2. Maybe I Do,2023,1h 35m,PG-13,5.0,42
2652,3. The Runaways,2010,1h 46m,R,6.5,65
2653,4. The 355,2022,2h 2m,PG-13,5.6,40
2654,5. August Rush,2007,1h 54m,PG,7.4,38
2655,6. Nocturne,2020,1h 30m,Not Rated,5.7,58
2656,7. The King Tide,2023,1h 40m,No,7.3,0
2657,8. Fingernails,2023,1h 53m,R,5.8,63
2658,9. The First Time,2012,1h 35m,PG-13,6.8,55
2659,0. Dancer in the Dark,2000,2h 20m,R,7.9,63
2660,1. The Silence,2019,1h 30m,PG-13,5.3,25
2661,2. Hot Summer Nights,2017,1h 47m,R,6.4,44
2662,3. The Passenger,2023,1h 34m,Unrated,6.4,62
2663,4. Spy Game,2001,2h 6m,R,7.1,63
2664,5. Protocol-7,2024,1h 38m,R,9.1,0
2665,6. Whiskey Tango Foxtrot,2016,1h 52m,R,6.6,57
2666,7. Centurion,2010,1h 37m,R,6.3,62
2667,8. Hoodwinked!,2005,1h 20m,PG,6.5,45
2668,9. It's Complicated,2009,2h,R,6.5,57
2669,0. Jersey Girl,2004,1h 42m,PG-13,6.2,43
2670,1. After.Life,2009,1h 44m,R,5.9,36
2671,2. Nowhere Special,2020,1h 36m,No,7.4,79
2672,3. Night Teeth,2021,1h 47m,TV-14,5.7,42
2673,4. Poseidon,2006,1h 38m,PG-13,5.7,50
2674,5. True Story,2015,1h 39m,R,6.3,50
2675,6. Gnomeo & Juliet,2011,1h 24m,G,5.9,53
2676,7. Amelia's Children,2023,1h 31m,No,5.3,52
2677,8. Miracles from Heaven,2016,1h 49m,PG,7.1,44
2678,9. The Quiet Girl,2022,1h 35m,PG-13,7.7,89
2679,0. Malcolm & Marie,2021,1h 46m,R,6.6,53
2680,1. PAW Patrol: The Movie,2021,1h 26m,G,6.1,50
2681,2. Sick of Myself,2022,1h 37m,No,7.1,71
2682,3. Going in Style,2017,1h 36m,PG-13,6.6,50
2683,4. The Raid 2,2014,2h 30m,R,7.9,71
2684,5. The Unhealer,2020,1h 34m,Not Rated,5.5,0
2685,6. Border,2018,1h 50m,R,7.0,75
2686,7. Arthur and the Invisibles,2006,1h 34m,PG,6.0,39
2687,8. The World to Come,2020,1h 45m,R,6.4,73
2688,9. The Last Full Measure,2019,1h 56m,R,6.8,51
2689,0. Adventureland,2009,1h 47m,R,6.8,76
2690,1. Ramona and Beezus,2010,1h 43m,G,6.5,56
2691,2. Along Came a Spider,2001,1h 44m,R,6.4,42
2692,3. The Purge: Anarchy,2014,1h 43m,R,6.4,50
2693,4. Christopher Robin,2018,1h 44m,PG,7.2,60
2694,5. R.I.P.D.,2013,1h 36m,PG-13,5.6,25
2695,6. Like Stars on Earth,2007,2h 42m,PG,8.3,0
2696,7. Book Club: The Next Chapter,2023,1h 47m,PG-13,5.6,46
2697,8. Marcel the Shell with Shoes On,2021,1h 30m,PG,7.7,80
2698,9. Strange World,2022,1h 42m,PG,5.7,65
2699,0. Hidden Strike,2023,1h 42m,TV-14,5.3,0
2700,1. Soul Surfer,2011,1h 52m,PG,7.0,53
2701,2. Penguins of Madagascar,2014,1h 32m,PG,6.6,53
2702,3. Official Secrets,2019,1h 52m,R,7.3,63
2703,4. The Infiltrator,2016,2h 7m,R,7.0,66
2704,5. Little Fockers,2010,1h 38m,PG-13,5.5,27
2705,6. 1922,2017,1h 42m,TV-MA,6.2,70
2706,7. TMNT,2007,1h 27m,PG,6.2,41
2707,8. The Loft,2014,1h 48m,R,6.3,24
2708,"9. Where'd You Go, Bernadette",2019,1h 49m,PG-13,6.5,51
2709,0. Night Shift,2023,1h 22m,No,5.3,0
2710,1. Clerks III,2022,1h 40m,R,6.2,50
2711,2. First Reformed,2017,1h 53m,R,7.1,86
2712,3. Inside Job,2010,1h 49m,PG-13,8.2,88
2713,4. The Forever Purge,2021,1h 43m,R,5.4,53
2714,5. The Bad Guardian,2024,TV-PG,No,7.9,0
2715,6. Insidious: Chapter 2,2013,1h 46m,PG-13,6.5,40
2716,7. 3096 Tage,2013,1h 51m,No,6.5,0
2717,8. Shoot 'Em Up,2007,1h 26m,R,6.6,49
2718,9. Ray,2004,2h 32m,PG-13,7.7,73
2719,0. The Girl with All the Gifts,2016,1h 51m,R,6.6,67
2720,1. Defiance,2008,2h 17m,R,7.1,58
2721,2. The Aftermath,2019,1h 48m,R,6.3,43
2722,3. Due Date,2010,1h 35m,R,6.5,51
2723,4. Solace,2015,1h 41m,R,6.4,36
2724,5. Girl with a Pearl Earring,2003,1h 40m,PG-13,6.9,72
2725,6. I Spit on Your Grave 2,2013,1h 46m,R,5.7,0
2726,7. Get Hard,2015,1h 40m,R,6.0,34
2727,8. Daddy Day Care,2003,1h 32m,PG,5.6,39
2728,9. The Nest,2020,1h 47m,R,6.3,81
2729,0. Eagle Eye,2008,1h 58m,PG-13,6.6,43
2730,1. A Perfect Getaway,2009,1h 38m,R,6.5,63
2731,2. Plus One,2019,1h 38m,Not Rated,6.6,65
2732,3. Four Lions,2010,1h 37m,R,7.3,68
2733,4. Whip It,2009,1h 51m,PG-13,6.9,68
2734,5. Host,2020,57m,Not Rated,6.5,73
2735,6. Dead Silence,2007,1h 29m,R,6.1,34
2736,7. The Black Dahlia,2006,2h 1m,R,5.6,49
2737,8. Made in Italy,2020,1h 34m,R,6.0,44
2738,9. Miranda's Victim,2023,2h 7m,No,6.6,0
2739,0. Those Who Wish Me Dead,2021,1h 40m,R,6.0,59
2740,1. The Book of Life,2014,1h 35m,PG,7.2,67
2741,2. Pan,2015,1h 51m,PG,5.7,36
2742,3. After the Sunset,2004,1h 37m,PG-13,6.2,38
2743,4. Force Majeure,2014,2h,R,7.2,87
2744,5. Æon Flux,2005,1h 33m,PG-13,5.4,36
2745,6. Americana,2023,1h 50m,R,7.2,85
2746,"7. Lyle, Lyle, Crocodile",2022,1h 46m,PG,6.1,51
2747,8. Dumbo,2019,1h 52m,PG,6.3,51
2748,9. The Last Song,2010,1h 47m,PG,6.0,33
2749,0. Quarantine,2008,1h 29m,R,6.0,53
2750,1. Secret Window,2004,1h 36m,PG-13,6.5,46
2751,2. His House,2020,1h 33m,TV-14,6.5,72
2752,3. The Losers,2010,1h 37m,PG-13,6.2,44
2753,4. The Channel,2023,1h 35m,No,5.6,0
2754,5. Dragged Across Concrete,2018,2h 39m,R,6.9,60
2755,6. Surf's Up,2007,1h 25m,PG,6.7,64
2756,7. Bait,2012,1h 33m,R,5.2,0
2757,8. Last Shift,2014,1h 28m,R,5.8,0
2758,9. Nebraska,2013,1h 55m,R,7.7,86
2759,0. Eli,2019,1h 38m,R,5.8,0
2760,1. The Room,2019,1h 40m,Not Rated,6.0,0
2761,2. May,2002,1h 33m,R,6.6,58
2762,3. The Re-Education of Molly Singer,2023,2h,R,5.8,0
2763,4. Once,2007,1h 26m,R,7.8,90
2764,5. My Spy,2020,1h 39m,PG-13,6.3,46
2765,6. Blitz,2011,1h 37m,R,6.1,0
2766,7. Stormbreaker,2006,1h 33m,PG,5.1,42
2767,8. Wildflower,2022,1h 45m,R,6.8,52
2768,9. Limonov: The Ballad of Eddie,2024,2h 18m,No,5.4,61
2769,0. Puss in Boots,2011,1h 30m,PG,6.6,65
2770,1. Beckett,2021,1h 50m,TV-MA,5.7,52
2771,2. Where the Wild Things Are,2009,1h 41m,PG,6.7,71
2772,3. Woman in Gold,2015,1h 49m,PG-13,7.3,51
2773,4. Bridget Jones's Baby,2016,2h 3m,R,6.5,59
2774,5. A Dog's Purpose,2017,1h 40m,PG,7.2,43
2775,6. Stick It,2006,1h 43m,PG-13,6.4,53
2776,7. 31,2016,1h 42m,No,5.1,35
2777,8. Outlander,2008,1h 55m,R,6.2,40
2778,9. The Score,2001,2h 4m,R,6.8,71
2779,"0. Yes, God, Yes",2019,1h 18m,R,6.1,71
2780,1. Just Mercy,2019,2h 17m,PG-13,7.6,68
2781,2. Half Nelson,2006,1h 46m,R,7.1,85
2782,3. Sing Sing,2023,1h 45m,R,7.8,85
2783,4. The Last Witch Hunter,2015,1h 46m,PG-13,5.9,34
2784,5. Next,2007,1h 36m,PG-13,6.2,42
2785,6. We Have a Ghost,2023,2h 6m,PG-13,6.1,53
2786,7. What to Expect When You're Expecting,2012,1h 50m,PG-13,5.7,41
2787,8. Water for Elephants,2011,2h,PG-13,6.9,52
2788,9. Man on a Ledge,2012,1h 42m,PG-13,6.6,40
2789,0. The Loved Ones,2009,1h 24m,R,6.6,73
2790,1. Janet Planet,2023,1h 53m,PG-13,6.5,84
2791,2. Metal Lords,2022,1h 37m,R,6.7,59
2792,3. Shaft,2000,1h 39m,R,6.0,50
2793,4. Waking Life,2001,1h 39m,R,7.7,85
2794,5. Matchstick Men,2003,1h 56m,PG-13,7.3,61
2795,6. I Love You Phillip Morris,2009,1h 38m,R,6.6,65
2796,7. A Little Life,2023,3h 40m,No,8.5,0
2797,8. Mommy,2014,2h 19m,R,8.0,74
2798,9. Hotel Transylvania 3: Summer Vacation,2018,1h 37m,PG,6.3,54
2799,0. Macbeth,2015,1h 53m,R,6.6,71
2800,1. Lara Croft: Tomb Raider - The Cradle of Life,2003,1h 57m,PG-13,5.5,43
2801,2. Nerve,2016,1h 36m,PG-13,6.5,58
2802,3. No One Gets Out Alive,2021,1h 27m,R,5.4,43
2803,4. Race,2016,2h 14m,PG-13,7.1,56
2804,5. Draft Day,2014,1h 50m,PG-13,6.8,54
2805,6. Abraham Lincoln: Vampire Hunter,2012,1h 45m,R,5.9,42
2806,7. The Palace,2023,1h 40m,No,5.4,0
2807,8. Ichi the Killer,2001,2h 9m,No,7.0,55
2808,9. Flamin' Hot,2023,1h 39m,PG-13,6.7,58
2809,0. If I Stay,2014,1h 47m,PG-13,6.7,46
2810,1. Death Wish,2018,1h 47m,R,6.3,31
2811,2. The Number 23,2007,1h 38m,R,6.4,0
2812,3. Akeelah and the Bee,2006,1h 52m,PG,7.4,72
2813,4. Poker Face,2022,1h 34m,Not Rated,5.2,43
2814,5. Snatched a Billionaire to be My Husband,2024,1h 10m,No,7.6,0
2815,6. Y2K,2024,1h 33m,No,6.0,52
2816,7. Blue Jasmine,2013,1h 38m,PG-13,7.3,78
2817,8. Rise of the Footsoldier: Origins,2021,1h 47m,Not Rated,5.8,0
2818,9. Pay It Forward,2000,2h 3m,PG-13,7.2,40
2819,0. Cloudy with a Chance of Meatballs 2,2013,1h 35m,PG,6.3,59
2820,1. Hannibal Rising,2007,2h 1m,R,6.1,35
2821,2. Intrusion,2021,1h 32m,TV-14,5.3,39
2822,3. The Bling Ring,2013,1h 30m,R,5.6,66
2823,4. Possum,2018,1h 25m,No,5.8,64
2824,5. Flightplan,2005,1h 38m,PG-13,6.3,53
2825,6. No One Lives,2012,1h 26m,R,6.0,26
2826,7. Ride Along,2014,1h 39m,PG-13,6.1,41
2827,8. The Artist,2011,1h 40m,PG-13,7.9,89
2828,9. Lie with Me,2022,1h 38m,No,7.6,0
2829,0. 21 Grams,2003,2h 4m,R,7.6,70
2830,1. Three Steps Above Heaven,2010,1h 58m,Not Rated,6.8,0
2831,2. Mr. Brooks,2007,2h,R,7.3,45
2832,3. Bird Box: Barcelona,2023,1h 52m,TV-MA,5.3,47
2833,4. That They May Face the Rising Sun,2023,1h 51m,No,7.6,0
2834,5. Scoob!,2020,1h 33m,PG,5.6,43
2835,6. True Spirit,2023,1h 49m,TV-PG,6.8,50
2836,7. Bubble Boy,2001,1h 24m,PG-13,5.7,41
2837,8. Home Team,2022,1h 35m,PG,6.0,23
2838,9. Ma Rainey's Black Bottom,2020,1h 34m,R,6.9,87
2839,0. Kodachrome,2017,1h 45m,TV-MA,6.8,57
2840,1. Wild Child,2008,1h 38m,PG-13,6.1,0
2841,2. Think Like a Man,2012,2h 2m,PG-13,6.5,51
2842,3. Yes Day,2021,1h 26m,PG,5.7,46
2843,4. Drishyam,2015,2h 43m,Not Rated,8.2,0
2844,5. Above Suspicion,2019,1h 44m,R,5.7,46
2845,6. Blackhat,2015,2h 13m,R,5.5,52
2846,7. Non-Stop,2014,1h 46m,PG-13,6.9,56
2847,8. Dark Harvest,2023,1h 36m,R,5.5,51
2848,9. Iron Sky,2012,1h 33m,R,5.9,0
2849,0. The Three Stooges,2012,1h 32m,PG,5.1,56
2850,1. Antlers,2021,1h 39m,R,5.9,57
2851,2. The Cobbler,2014,1h 39m,PG-13,5.8,23
2852,3. Renee Gracie: Fireproof,2024,1h 40m,No,7.6,0
2853,4. Next Friday,2000,1h 38m,R,6.1,41
2854,5. A Nice Girl Like You,2020,1h 34m,R,5.2,41
2855,6. Your Highness,2011,1h 42m,R,5.5,31
2856,7. Bill & Ted Face the Music,2020,1h 31m,PG-13,5.9,65
2857,8. Quiz Lady,2023,1h 39m,R,6.7,59
2858,9. The Ice Road,2021,1h 49m,PG-13,5.6,42
2859,0. I'll See You in My Dreams,2015,1h 32m,PG-13,6.7,75
2860,1. Empire of Light,2022,1h 55m,R,6.7,54
2861,2. Snake Eyes,2021,2h 1m,PG-13,5.4,43
2862,3. Dog Soldiers,2002,1h 45m,R,6.8,0
2863,4. It's Kind of a Funny Story,2010,1h 41m,PG-13,7.1,63
2864,5. Without a Paddle,2004,1h 35m,PG-13,5.8,29
2865,6. Wallbanger,2024,1h 58m,No,6.8,0
2866,7. Just Friends,2005,1h 36m,PG-13,6.2,47
2867,"8. Mektoub, My Love: Canto Uno",2017,3h 1m,No,6.5,59
2868,9. One True Loves,2023,1h 40m,PG-13,5.5,35
2869,0. Johnny English Strikes Again,2018,1h 29m,PG,6.2,39
2870,1. Cooties,2014,1h 28m,R,5.7,49
2871,2. Tall Girl,2019,1h 41m,TV-PG,5.2,0
2872,3. The Bookshop,2017,1h 53m,PG,6.5,62
2873,4. Jolt,2021,1h 31m,R,5.6,48
2874,5. Red State,2011,1h 28m,R,6.1,50
2875,6. High School Musical 3: Senior Year,2008,1h 52m,G,5.0,57
2876,7. The Bad Batch,2016,1h 58m,R,5.2,62
2877,8. Silent Night,2021,1h 32m,Not Rated,5.8,52
2878,9. Slumberland,2022,1h 57m,PG,6.7,40
2879,0. Romeo & Juliet,2013,1h 58m,PG-13,5.8,41
2880,1. Spirited,2022,2h 7m,PG-13,6.6,55
2881,2. You Again,2010,1h 45m,PG,5.7,28
2882,3. The Swimmers,2022,2h 14m,PG-13,7.4,62
2883,4. American Wedding,2003,1h 36m,R,6.3,43
2884,5. Dreamcatcher,2003,2h 14m,R,5.5,35
2885,6. Our Friend,2019,2h 4m,R,7.3,57
2886,7. Waitress,2007,1h 48m,PG-13,7.0,75
2887,8. Mowgli: Legend of the Jungle,2018,1h 44m,PG-13,6.5,51
2888,9. Surrogates,2009,1h 29m,PG-13,6.3,45
2889,0. Fired Up!,2009,1h 30m,PG-13,6.1,31
2890,1. 10 Lives,2024,1h 28m,TV-G,6.0,0
2891,2. The Underdoggs,2024,1h 36m,R,5.6,39
2892,3. Fire Island,2022,1h 45m,R,6.7,72
2893,4. We Own the Night,2007,1h 57m,R,6.8,59
2894,5. Columbus,2017,1h 40m,Not Rated,7.2,89
2895,6. Eddie the Eagle,2015,1h 46m,PG-13,7.3,54
2896,7. Mr. Peabody & Sherman,2014,1h 32m,PG,6.8,59
2897,8. Let Him Go,2020,1h 53m,R,6.7,63
2898,9. Murder by Numbers,2002,1h 55m,R,6.2,50
2899,0. Titan A.E.,2000,1h 34m,PG,6.6,48
2900,1. Cheaper by the Dozen 2,2005,1h 34m,PG,5.5,34
2901,2. The Light Between Oceans,2016,2h 13m,PG-13,7.2,60
2902,3. The Sum of All Fears,2002,2h 4m,PG-13,6.4,45
2903,4. Kill the Irishman,2011,1h 46m,R,7.0,50
2904,5. The Croods: A New Age,2020,1h 35m,PG,6.9,56
2905,6. The Simpsons Movie,2007,1h 27m,PG-13,7.3,80
2906,7. Stuck in Love.,2012,1h 37m,R,7.2,49
2907,8. Diary of a Wimpy Kid: Dog Days,2012,1h 34m,PG,6.3,54
2908,9. The Curse of La Llorona,2019,1h 33m,R,5.3,41
2909,0. Clerks II,2006,1h 37m,R,7.3,65
2910,1. Interstate 60,2002,1h 56m,R,7.6,0
2911,2. High Strung,2016,1h 36m,PG,6.3,48
2912,3. Resident Evil: The Final Chapter,2016,1h 47m,R,5.5,49
2913,4. Invasive,2024,1h 37m,No,6.3,0
2914,5. Thirteen Days,2000,2h 25m,PG-13,7.3,67
2915,6. Marley & Me,2008,1h 55m,PG,7.0,53
2916,7. Quills,2000,2h 4m,R,7.2,70
2917,8. Appaloosa,2008,1h 55m,R,6.7,64
2918,9. The Company Men,2010,1h 44m,R,6.7,69
2919,0. Paper Towns,2015,1h 49m,PG-13,6.2,56
2920,1. The Constant Gardener,2005,2h 9m,R,7.3,82
2921,2. The Kings of Summer,2013,1h 35m,R,7.1,61
2922,3. House of Sand and Fog,2003,2h 6m,R,7.5,71
2923,4. Double Blind,2023,1h 30m,No,5.6,0
2924,5. My Policeman,2022,1h 53m,R,6.5,50
2925,6. Mile 22,2018,1h 34m,R,6.1,38
2926,7. The Crazies,2010,1h 41m,R,6.5,56
2927,8. Out Cold,2001,1h 29m,PG-13,6.2,22
2928,9. Mommy Meanest,2024,1h 27m,TV-14,5.3,0
2929,0. Infernal Affairs,2002,1h 41m,R,8.0,75
2930,1. Jay and Silent Bob Reboot,2019,1h 45m,R,5.6,46
2931,2. Creed II,2018,2h 10m,PG-13,7.1,66
2932,3. Operation Finale,2018,2h 2m,PG-13,6.6,58
2933,4. Hotel Transylvania 2,2015,1h 29m,PG,6.6,44
2934,5. Tickled,2016,1h 32m,R,7.5,76
2935,6. Big Fat Liar,2002,1h 28m,PG,5.5,36
2936,7. The Hustle,2019,1h 33m,PG-13,5.4,35
2937,8. Boiler Room,2000,2h,R,7.0,63
2938,9. The Replacements,2000,1h 58m,PG-13,6.6,30
2939,0. Piggy,2022,1h 39m,Not Rated,6.2,72
2940,1. Grave Encounters,2011,1h 32m,Not Rated,6.1,33
2941,2. Smurfs: The Lost Village,2017,1h 30m,PG,6.0,40
2942,3. RED 2,2013,1h 56m,PG-13,6.6,47
2943,4. Aliens in the Attic,2009,1h 26m,PG,5.4,42
2944,5. The Boat That Rocked,2009,1h 57m,R,7.3,58
2945,6. From Paris with Love,2010,1h 32m,R,6.4,42
2946,7. Dreamgirls,2006,2h 10m,PG-13,6.6,76
2947,8. How High,2001,1h 33m,R,6.2,29
2948,9. Dragon Ball Super: Super Hero,2022,1h 40m,PG-13,7.1,65
2949,0. The Yellow Birds,2017,1h 34m,R,5.8,56
2950,1. Vertical Limit,2000,2h 4m,PG-13,5.9,48
2951,2. Spectral,2016,1h 47m,PG-13,6.3,0
2952,3. Power,2024,1h 29m,R,5.9,72
2953,4. The Green Hornet,2011,1h 59m,PG-13,5.8,39
2954,5. Deadgirl,2008,1h 41m,R,5.5,36
2955,6. Greta,2018,1h 38m,R,6.0,54
2956,7. Gretel & Hansel,2020,1h 27m,PG-13,5.5,64
2957,8. The Legend of Catclaws Mountain,2024,PG,No,5.3,0
2958,9. Red Riding Hood,2011,1h 40m,PG-13,5.4,29
2959,0. An Easy Girl,2019,1h 32m,TV-MA,5.6,79
2960,1. Black Book,2006,2h 25m,R,7.7,71
2961,2. Martha Marcy May Marlene,2011,1h 42m,R,6.8,75
2962,3. Bad Luck Banging or Loony Porn,2021,1h 46m,Not Rated,6.5,74
2963,4. The Squid and the Whale,2005,1h 21m,R,7.3,82
2964,5. Spiral,2021,1h 33m,R,5.2,40
2965,6. The Smurfs,2011,1h 43m,PG,5.4,30
2966,7. The Grey,2011,1h 57m,R,6.7,64
2967,8. The International,2009,1h 58m,R,6.5,52
2968,9. The Discovery,2017,1h 42m,TV-MA,6.2,54
2969,0. Happy Feet Two,2011,1h 40m,PG,5.8,50
2970,1. Hubie Halloween,2020,1h 43m,PG-13,5.2,53
2971,2. Drishyam 2,2022,2h 20m,Not Rated,8.2,0
2972,3. Imperium,2016,1h 49m,R,6.5,68
2973,"4. Alice, Darling",2022,1h 29m,R,5.5,65
2974,5. Entergalactic,2022,1h 33m,TV-MA,7.3,0
2975,6. Confessions of a Dangerous Mind,2002,1h 53m,R,7.0,67
2976,7. Vivo,2021,1h 35m,PG,6.7,66
2977,8. The Brothers Grimm,2005,1h 58m,PG-13,5.9,51
2978,9. The Best Exotic Marigold Hotel,2011,2h 4m,PG-13,7.2,62
2979,0. Honey Boy,2019,1h 34m,R,7.2,73
2980,1. Marguerite's Theorem,2023,1h 53m,No,6.9,0
2981,2. Beautiful Creatures,2013,2h 4m,PG-13,6.1,52
2982,3. Emergency,2022,1h 45m,R,6.2,73
2983,4. Sick,2022,1h 23m,R,6.0,62
2984,5. Insidious: Chapter 3,2015,1h 37m,PG-13,6.1,52
2985,6. Time Lapse,2014,1h 44m,Not Rated,6.5,50
2986,7. Resident Evil: Extinction,2007,1h 34m,R,6.2,41
2987,8. Battle of the Sexes,2017,2h 1m,PG-13,6.7,73
2988,9. Perfect Sense,2011,1h 32m,R,7.0,55
2989,0. Tuesday,2023,1h 51m,R,6.9,85
2990,1. Dorian Gray,2009,1h 52m,R,6.2,0
2991,2. The SpongeBob Movie: Sponge Out of Water,2015,1h 32m,PG,6.0,62
2992,3. The Midnight Meat Train,2008,1h 40m,R,6.0,58
2993,4. The Duel,2023,1h 35m,R,8.5,0
2994,5. The Lego Ninjago Movie,2017,1h 41m,PG,6.0,55
2995,6. Tenacious D in the Pick of Destiny,2006,1h 34m,R,6.8,55
2996,7. The Family That Preys,2008,1h 51m,PG-13,6.0,49
2997,8. The Flying Scotsman,2006,1h 36m,PG-13,7.0,49
2998,9. Fallen,2016,1h 31m,PG-13,5.2,47
2999,0. My Summer of Love,2004,1h 26m,R,6.7,82
3000,1. The Possession of Hannah Grace,2018,1h 26m,R,5.2,37
3001,2. The Producers,2005,2h 14m,PG-13,6.3,52
3002,3. The Mothman Prophecies,2002,1h 59m,PG-13,6.4,52
3003,4. Leave No Trace,2018,1h 49m,PG,7.1,88
3004,5. The Garden of Words,2013,46m,TV-14,7.4,0
3005,6. Submarine,2010,1h 37m,R,7.3,76
3006,7. Dan in Real Life,2007,1h 38m,PG-13,6.8,65
3007,8. Stay,2005,1h 39m,R,6.7,41
3008,9. Lord of Misrule,2023,1h 44m,No,5.2,46
3009,0. CHIPS,2017,1h 40m,R,6.0,28
3010,1. The Perfection,2018,1h 30m,TV-MA,6.2,60
3011,2. Saw III,2006,1h 48m,R,6.2,48
3012,3. Last Looks,2021,1h 50m,R,5.8,49
3013,4. Candy,2006,1h 48m,R,7.2,57
3014,5. Peter Rabbit,2018,1h 35m,PG,6.6,51
3015,6. Horns,2013,2h,R,6.4,46
3016,7. Magpie,2024,1h 30m,R,8.8,69
3017,8. Saw 3D,2010,1h 30m,R,5.5,24
3018,9. Bonus Track,2023,1h 38m,No,6.6,0
3019,0. The Informer,2019,1h 53m,R,6.6,61
3020,1. Eight Legged Freaks,2002,1h 39m,PG-13,5.5,53
3021,2. 40 Days and 40 Nights,2002,1h 36m,R,5.6,53
3022,3. Klaus,2019,1h 36m,PG,8.2,65
3023,4. Lady Vengeance,2005,1h 55m,R,7.5,75
3024,5. Curious George,2006,1h 27m,G,6.5,62
3025,6. Boundless,2024,2h 1m,Not Rated,5.7,0
3026,7. Aftermath,2021,1h 54m,TV-MA,5.3,0
3027,8. Child's Play,2019,1h 30m,R,5.7,48
3028,9. Secret in Their Eyes,2015,1h 51m,PG-13,6.3,45
3029,0. Professor Marston & the Wonder Women,2017,1h 48m,R,7.0,68
3030,1. A Night of Knowing Nothing,2021,1h 39m,No,7.2,87
3031,2. Kung Pow: Enter the Fist,2002,1h 21m,PG-13,6.2,14
3032,3. Sinister 2,2015,1h 37m,R,5.3,32
3033,4. Cheeky,2000,1h 31m,Not Rated,5.4,0
3034,5. White Men Can't Jump,2023,1h 41m,R,5.1,40
3035,6. The Rookie,2002,2h 7m,G,6.9,72
3036,7. Book Club,2018,1h 44m,PG-13,6.1,53
3037,"8. Everything, Everything",2017,1h 36m,PG-13,6.3,52
3038,9. Leatherface,2017,1h 30m,R,5.0,40
3039,0. Death at a Funeral,2010,1h 32m,R,5.7,51
3040,1. The Addams Family,2019,1h 26m,PG,5.8,46
3041,2. I Feel Pretty,2018,1h 50m,PG-13,5.7,48
3042,3. The New Guy,2002,1h 28m,PG-13,5.8,24
3043,4. Broken Side of Time,2013,2h 6m,Not Rated,5.0,0
3044,5. 20 Days in Mariupol,2023,1h 35m,TV-PG,8.6,83
3045,6. Paycheck,2003,1h 59m,PG-13,6.3,43
3046,7. The Man from Nowhere,2010,1h 59m,R,7.7,0
3047,8. White Boy Rick,2018,1h 51m,R,6.5,59
