,Name,Year,Duration,Rated,Score,Metascore
129,. Knives Out,2019,2h 10m,PG-13,7.9,82
130,. Moana,2016,1h 47m,PG,7.6,81
131,. Aquaman and the Lost Kingdom,2023,2h 4m,PG-13,5.6,42
132,. Talk to Me,2022,1h 35m,R,7.1,76
133,. Three Thousand Years of Longing,2022,1h 48m,R,6.7,60
134,. The Killing of a Sacred Deer,2017,2h 1m,R,7.0,73
135,. The Little Things,2021,2h 8m,R,6.3,54
136,. Split,2016,1h 57m,PG-13,7.3,63
137,. Inheritance,2020,1h 51m,TV-MA,5.6,31
138,. John Wick: Chapter 4,2023,2h 49m,R,7.7,78
139,. Napoleon,2023,2h 38m,R,6.4,64
140,. No Country for Old Men,2007,2h 2m,R,8.2,92
141,. Everything Everywhere All at Once,2022,2h 19m,R,7.8,81
142,. Troy,2004,2h 43m,R,7.3,56
143,. The Bricklayer,2023,1h 50m,R,5.1,0
144,. Purple Hearts,2022,2h 2m,TV-14,6.7,30
145,. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1,63
146,. Migration,2023,1h 23m,PG,6.7,56
147,. Ford v Ferrari,2019,2h 32m,PG-13,8.1,81
148,. The Prestige,2006,2h 10m,PG-13,8.5,66
149,. World War Z,2013,1h 56m,PG-13,7.0,63
150,. Everybody Wants Some!!,2016,1h 57m,R,6.9,85
151,. Dark Waters,2019,2h 6m,PG-13,7.6,73
152,. The Departed,2006,2h 31m,R,8.5,85
153,. Requiem for a Dream,2000,1h 42m,NC-17,8.3,71
154,. Whiplash,2014,1h 46m,R,8.5,89
155,. Deadpool 2,2018,1h 59m,R,7.6,66
156,. Mean Girls,2024,1h 52m,PG-13,5.7,58
157,. Five Nights at Freddy's,2023,1h 49m,PG-13,5.5,33
158,. Don't Worry Darling,2022,2h 3m,R,6.3,48
159,. The Witch,2015,1h 32m,R,7.0,84
160,. Kingdom of Heaven,2005,2h 24m,R,7.3,63
161,. The Notebook,2004,2h 3m,PG-13,7.8,53
162,. Baby Driver,2017,1h 53m,R,7.5,86
163,. It,2017,2h 15m,R,7.3,69
164,. Babylon,2022,3h 9m,R,7.1,61
165,. Gaga Chromatica Ball,2024,1h 57m,No,8.3,0
166,. Gone Girl,2014,2h 29m,R,8.1,79
167,. Jackdaw,2023,1h 37m,No,5.4,0
168,. May December,2023,1h 57m,R,6.8,86
169,. Godzilla vs. Kong,2021,1h 53m,PG-13,6.3,59
170,. Pride & Prejudice,2005,2h 9m,PG,7.8,82
171,. We're the Millers,2013,1h 50m,R,7.0,44
172,". Red, White & Royal Blue",2023,1h 58m,R,7.0,62
173,. The Dark Tower,2017,1h 35m,PG-13,5.6,34
174,. Bob Marley: One Love,2024,1h 47m,PG-13,6.3,43
175,. Ricky Stanicky,2024,1h 53m,R,6.2,44
176,. Logan,2017,2h 17m,R,8.1,77
177,. Die Hart,2023,1h 24m,TV-MA,5.2,0
178,. Idiocracy,2006,1h 24m,R,6.5,66
179,. The Voyeurs,2021,1h 56m,R,6.1,54
180,. The Super Mario Bros. Movie,2023,1h 32m,PG,7.0,46
181,. Upgraded,2024,1h 44m,R,6.1,59
182,. Ghostbusters: Afterlife,2021,2h 4m,PG-13,7.0,45
183,. The Equalizer 3,2023,1h 49m,R,6.8,58
184,. The Gray Man,2022,2h 2m,PG-13,6.5,49
185,. Triangle of Sadness,2022,2h 27m,R,7.3,63
186,. Spaceman,2024,1h 47m,R,5.7,55
187,. The Northman,2022,2h 17m,R,7.0,82
188,. DogMan,2023,1h 55m,R,6.8,45
189,. Shutter Island,2010,2h 18m,R,8.2,63
190,. The Matrix Resurrections,2021,2h 28m,R,5.7,63
191,. Pearl Harbor,2001,3h 3m,PG-13,6.2,44
192,. Glass,2019,2h 9m,PG-13,6.6,43
193,. Green Book,2018,2h 10m,PG-13,8.2,69
194,. The Age of Adaline,2015,1h 52m,PG-13,7.2,51
195,. La Chimera,2023,2h 10m,No,7.3,91
196,. The Killer,2023,1h 58m,R,6.7,73
197,. Prisoners,2013,2h 33m,R,8.2,70
198,. Jurassic World Dominion,2022,2h 27m,PG-13,5.6,38
199,. Past Lives,2023,1h 45m,PG-13,7.9,94
200,. The Dreamers,2003,1h 55m,NC-17,7.1,63
